datetime(PDT),elapsed time,N,W,target_azimuth,control
2023-09-06 17:38:44.978728,112.19390749931335,35.924266,139.91225,76.52864221231607,115.18845046640615
2023-09-06 17:38:50.450798,117.66597557067871,35.924271,139.912367,64.5293964097804,117.65949876393637
2023-09-06 17:38:55.919704,123.13488173484802,35.924229,139.91242,22.387406470279025,29.097243278035933
2023-09-06 17:39:01.391910,128.6070876121521,35.924225,139.912466,356.2452769583282,3.773778042288768
2023-09-06 17:39:06.862791,134.0779685974121,35.924254,139.912508,323.1788471383688,-10.802502635643862
2023-09-06 17:39:40.772982,167.98815989494324,35.924362,139.912522,252.10013839316753,119.88884607301173
2023-09-06 17:39:46.244828,173.46000742912292,35.924353,139.912496,252.4194192454469,157.73057617999964
2023-09-06 17:39:51.713388,178.92856621742249,35.924348,139.91243,250.3561926221518,92.03084174117595
2023-09-06 17:39:57.187468,184.4026460647583,35.924325,139.912342,249.78976048621922,64.86265053857022
2023-09-06 17:40:02.660876,189.87605381011963,35.924303,139.912281,250.8538342912457,82.29487816001313
2023-09-06 17:40:10.139850,197.35502815246582,35.924262,139.912179,257.6338942978995,64.4432835856926
2023-09-06 17:40:45.250959,232.46613836288452,35.924207,139.912064,356.99613721864125,0
2023-09-06 17:42:56.237808,363.45298314094543,35.924271,139.912059,0,0
