datetime(PDT),elapsed time,lat,lon,distance_to_parachute,red_area,isDistant_parachute,control
2023-09-06 17:19:33.665710,31.34747338294983,35.924188,139.912042,0.14302641444405503,0,0,2
2023-09-06 17:19:37.214034,34.89580464363098,35.924193,139.912042,0.718694559058286,0,0,2
2023-09-06 17:19:40.813667,38.49543213844299,35.924191,139.912047,0.6173284370657247,0,0,2
2023-09-06 17:19:44.340388,42.02215075492859,35.924189,139.912051,0.7950359436480855,0,0,2
2023-09-06 17:19:47.920380,45.60214614868164,35.924187,139.912056,1.0886680667170674,0,0,2
2023-09-06 17:19:51.457495,49.139259576797485,35.924188,139.912054,1.047065063946688,0,0,2
2023-09-06 17:19:55.033239,52.71500539779663,35.924188,139.912053,0.8778078286076684,0,0,2
2023-09-06 17:19:58.554651,56.23641490936279,35.924187,139.912053,0.9024947021728108,0,0,2
2023-09-06 17:20:02.188165,59.869930028915405,35.924191,139.912051,0.7720678495294822,0,0,2
2023-09-06 17:20:05.938431,63.62020301818848,35.92419,139.912048,0.7752473745221082,37408,0,4
2023-09-06 17:20:12.733722,70.41548705101013,35.924196,139.912059,1.9308813649695278,0,0,3
2023-09-06 17:20:19.523562,77.20532631874084,35.924191,139.912056,1.2712606613981223,0,0,3
2023-09-06 17:20:23.317692,80.99949049949646,35.9242,139.912054,1.8936624964956836,94,0,4
2023-09-06 17:20:30.092411,87.77417993545532,35.924201,139.912051,1.7529442292471007,0,0,3
2023-09-06 17:20:36.927591,94.60935640335083,35.924201,139.912045,1.7030639354413055,0,0,3
2023-09-06 17:20:43.722975,101.40475964546204,35.924197,139.912041,1.343669806126319,0,0,3
2023-09-06 17:20:50.471364,108.15313386917114,35.924196,139.912034,1.1442112860090123,0,0,3
